year;actual_passengers;population;gdp_per_capita;ticket_price
2004;91071446;31911668;35308.97;335.43
2005;92574709;32215916;35786.94;330.78
2006;94924075;32531867;36502.29;326.13
2007;100457756;32862459;37464.73;321.48
2008;102741489;33218541;38128.08;316.84
2009;99470276;33593917;38302.41;312.19
2010;103657103;33963412;39122.23;307.54
2011;109670190;34323531;39388.90;302.89
2012;113168073;34691878;39489.61;298.24
2013;114274816;35063691;39768.36;293.60
2014;120056628;35404608;40259.45;288.95
2015;124911800;35732126;40495.57;284.30
2016;131188028;36113532;41182.94;269.50
2017;138061270;36554348;42059.41;273.23
2018;145891516;37035254;42710.13;283.30
2019;146666077;37522584;43086.68;296.11
2020;55444369;37888705;41125.15;323.54
