year;actual_passengers;population;gdp_per_capita;ticket_price
2004;47083932;31911668;35308.97;335.43
2005;45942294;32215916;35786.94;330.78
2006;47475508;32531867;36502.29;326.13
2007;50173801;32862459;37464.73;321.48
2008;51798422;33218541;38128.08;316.84
2009;50806915;33593917;38302.41;312.19
2010;51587271;33963412;39122.23;307.54
2011;54255723;34323531;39388.90;302.89
2012;54907943;34691878;39489.61;298.24
2013;54116846;35063691;39768.36;293.60
2014;56317924;35404608;40259.45;288.95
2015;57878535;35732126;40495.57;284.30
2016;59610200;36113532;41182.94;269.50
2017;61504194;36554348;42059.41;273.23
2018;64639691;37035254;42710.13;283.30
2019;63658418;37522584;43086.68;296.11
