year;actual_passengers;population;gdp_per_capita;ticket_price
2004;14681525;31911668;35308.97;335.43
2005;16112127;32215916;35786.94;330.78
2006;16988677;32531867;36502.29;326.13
2007;19365168;32862459;37464.73;321.48
2008;19439246;33218541;38128.08;316.84
2009;18740410;33593917;38302.41;312.19
2010;20877549;33963412;39122.23;307.54
2011;23813668;34323531;39388.90;302.89
2012;24962652;34691878;39489.61;298.24
2013;26590434;35063691;39768.36;293.60
2014;29258867;35404608;40259.45;288.95
2015;32205444;35732126;40495.57;284.30
2016;35800438;36113532;41182.94;269.50
2017;39401154;36554348;42059.41;273.23
2018;42300748;37035254;42710.13;283.30
2019;43297135;37522584;43086.68;296.11
