year;actual_passengers;population;gdp_per_capita;ticket_price
2004;29305989;31911668;35308.97;335.43
2005;30520288;32215916;35786.94;330.78
2006;30459890;32531867;36502.29;326.13
2007;30918787;32862459;37464.73;321.48
2008;31503821;33218541;38128.08;316.84
2009;29922951;33593917;38302.41;312.19
2010;31192283;33963412;39122.23;307.54
2011;31600799;34323531;39388.90;302.89
2012;33297478;34691878;39489.61;298.24
2013;33567536;35063691;39768.36;293.60
2014;34479837;35404608;40259.45;288.95
2015;34827821;35732126;40495.57;284.30
2016;35777390;36113532;41182.94;269.50
2017;37155922;36554348;42059.41;273.23
2018;38951077;37035254;42710.13;283.30
2019;39710524;37522584;43086.68;296.11
